Local Authority territorial CO2 emissions estimates 2005-2019 (kt CO2) - Full dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region/Country,Second Tier Authority,Local Authority,Code,Year,Industry Electricity,Industry Gas ,Industry 'Other Fuels',Large Industrial Installations,Agriculture,Industry Total,Commercial Electricity,Commercial Gas ,Commercial 'Other Fuels',Commercial Total,Public Sector Electricity,Public Sector Gas ,Public Sector 'Other Fuels',Public Sector Total,Domestic Electricity,Domestic Gas,Domestic 'Other Fuels',Domestic Total,Road Transport (A roads),Road Transport (Motorways),Road Transport (Minor roads),Diesel Railways,Transport Other,Transport Total,Net Emissions: Forest land,Net Emissions: Cropland,Net Emissions: Grassland,Net Emissions: Wetlands,Net Emissions: Settlements,Net Emissions: Harvested Wood Products,LULUCF Net Emissions,Grand Total,"Population                                              ('000s, mid-year estimate)",Per Capita Emissions (t),Area (km2),Emissions per km2 (kt)
North East,Darlington,Darlington,E06000005,2019,17.8,64.8,23.9,0.1,6.0,112.5,27.8,17.1,0.3,45.1,11.4,14.1,0.1,25.6,33.7,122.5,6.3,162.5,65.1,37.8,76.7,5.3,3.0,187.9,-5.2,5.4,-8.9,0.0,3.7,0.0,-5.0,528.5,106.8,4.9,197.5,2.7
North East,Durham,County Durham,E06000047,2019,110.9,86.7,130.7,10.9,46.0,385.2,82.8,70.1,1.7,154.6,37.7,64.7,0.5,102.9,155.2,590.9,78.7,824.8,391.4,194.6,336.9,27.0,5.1,954.9,-110.6,56.6,-6.1,-10.1,22.4,0.0,-47.8,"2,374.7",530.1,4.5,"2,232.6",1.1
North East,Gateshead,Gateshead,E08000037,2019,45.8,76.1,35.2,4.8,1.5,163.4,49.1,35.5,0.4,84.9,16.0,32.5,0.0,48.5,57.8,226.1,7.6,291.5,204.7,34.7,209.0,2.9,2.3,453.6,-8.0,4.6,-5.9,0.0,1.8,0.0,-7.6,"1,034.3",202.1,5.1,144.1,7.2
North East,Hartlepool,Hartlepool,E06000001,2019,30.7,25.8,13.8,177.7,1.9,249.9,26.8,14.8,0.1,41.7,7.8,15.2,0.0,23.1,27.2,100.7,3.2,131.1,76.2,0.0,62.5,0.6,0.3,139.6,-1.9,2.5,-3.9,0.0,2.0,0.0,-1.3,584.2,93.7,6.2,98.3,5.9
North East,Middlesbrough,Middlesbrough,E06000002,2019,17.1,16.9,12.3,0.1,0.6,47.1,25.3,16.6,0.1,41.9,12.9,24.3,0.0,37.3,38.8,147.0,3.0,188.7,137.5,0.0,144.5,1.5,1.5,285.0,-2.3,1.7,-2.3,0.0,0.9,0.0,-2.0,597.9,141.0,4.2,54.6,11.0
North East,Newcastle upon Tyne,Newcastle upon Tyne,E08000021,2019,30.0,36.7,24.5,8.4,1.4,101.2,99.1,74.2,0.4,173.7,36.8,92.9,0.2,129.9,82.5,301.7,7.8,392.0,197.3,12.1,203.8,3.0,16.2,432.4,-3.6,4.8,-2.2,0.0,1.5,0.0,0.6,"1,229.8",302.8,4.1,115.1,10.7
North East,North Tyneside,North Tyneside,E08000022,2019,38.1,43.7,19.1,0.0,0.8,101.9,45.2,47.2,0.3,92.6,10.0,22.1,0.1,32.2,60.5,242.5,4.2,307.2,148.7,0.0,141.4,3.5,1.6,295.2,-2.2,2.4,-3.4,0.0,1.3,0.0,-1.9,827.2,207.9,4.0,84.8,9.8
North East,Northumberland,Northumberland,E06000057,2019,86.8,108.4,78.3,2.6,129.0,405.0,86.7,47.2,2.8,136.7,21.4,25.6,0.7,47.6,112.8,331.2,99.7,543.7,441.6,0.0,179.2,26.4,3.3,650.5,"-1,241.2",211.1,-144.9,7.3,65.6,0.0,"-1,102.1",681.3,322.4,2.1,"5,077.5",0.1
North East,Redcar and Cleveland,Redcar and Cleveland,E06000003,2019,51.2,206.2,30.5,"1,664.8",4.9,"1,957.5",57.6,49.9,0.4,107.9,13.9,20.3,0.1,34.3,40.4,146.7,7.8,194.9,95.5,0.0,104.1,2.5,1.1,203.2,-9.6,6.1,-7.8,0.0,4.2,0.0,-7.1,"2,490.7",137.2,18.2,253.8,9.8
North East,South Tyneside,South Tyneside,E08000023,2019,17.9,7.4,19.4,0.0,0.5,45.3,17.6,17.0,0.1,34.7,6.9,15.8,0.1,22.8,41.7,165.7,7.7,215.1,91.2,0.2,81.7,1.7,0.9,175.7,-1.7,1.9,-2.8,0.0,1.1,0.0,-1.4,492.2,151.0,3.3,67.1,7.3
North East,Stockton-on-Tees,Stockton-on-Tees,E06000004,2019,98.9,117.5,48.1,"1,691.9",4.0,"1,960.4",80.2,31.4,0.5,112.1,30.2,8.0,0.1,38.3,56.3,209.2,7.5,272.9,211.6,0.0,131.4,5.7,4.0,352.6,-6.3,5.8,-8.3,0.0,3.7,0.0,-5.1,"2,731.3",197.3,13.8,209.7,13.0
North East,Sunderland,Sunderland,E08000024,2019,68.2,67.6,58.7,0.2,1.5,196.2,72.1,45.0,0.2,117.3,27.1,31.0,0.1,58.1,78.9,313.1,19.4,411.5,192.2,11.5,196.9,0.6,2.2,403.5,-9.9,5.2,-6.1,0.0,2.1,0.0,-8.7,"1,177.9",277.7,4.2,139.6,8.4
North West,Blackburn with Darwen,Blackburn with Darwen,E06000008,2019,46.5,40.6,31.8,80.8,2.2,202.0,24.4,24.2,0.2,48.9,8.7,22.3,0.0,31.1,42.2,158.1,9.0,209.3,43.9,44.5,68.4,1.0,3.2,161.1,-7.4,2.4,3.7,-1.8,2.5,0.0,-0.5,651.8,149.7,4.4,137.0,4.8
North West,Blackpool,Blackpool,E06000009,2019,15.0,6.8,9.5,0.0,0.3,31.5,35.1,30.5,0.2,65.8,10.5,32.1,0.3,42.9,47.6,152.8,3.4,203.8,38.9,0.4,82.7,0.7,3.4,126.0,-0.4,0.6,-0.3,0.0,1.4,0.0,1.3,471.4,139.4,3.4,43.2,10.9
North West,Bolton,Bolton,E08000001,2019,56.4,25.3,54.7,5.8,1.9,144.2,40.2,47.8,0.3,88.3,9.8,28.3,0.0,38.1,87.4,301.2,13.5,402.1,130.5,172.9,229.9,6.5,3.0,542.7,-6.3,3.3,-2.4,-0.1,2.6,0.0,-2.9,"1,212.5",287.6,4.2,139.8,8.7
North West,Bury,Bury,E08000002,2019,30.5,24.1,21.6,0.0,1.6,77.7,30.8,27.4,0.2,58.4,8.6,22.0,0.0,30.6,59.9,211.8,7.9,279.6,68.0,188.1,148.3,0.0,2.3,406.6,-3.4,2.1,-2.2,-0.1,1.8,0.0,-1.8,851.2,191.0,4.5,99.5,8.6
North West,Cheshire,Cheshire East,E06000049,2019,95.3,157.2,116.2,14.4,49.8,432.8,98.4,99.3,3.3,201.0,17.3,43.2,0.6,61.1,141.5,431.9,84.4,657.8,345.1,476.9,237.6,16.6,77.1,"1,153.4",-31.8,41.4,-23.8,2.4,21.3,0.0,9.5,"2,515.5",384.2,6.5,"1,166.4",2.2
North West,Cheshire,Cheshire West and Chester,E06000050,2019,130.7,107.8,169.0,"1,554.5",38.5,"2,000.5",161.5,138.9,2.7,303.0,29.3,56.6,0.9,86.8,116.5,347.8,55.7,520.0,361.6,289.8,208.3,9.7,54.4,923.9,-26.4,44.6,-16.8,0.6,20.4,0.0,22.5,"3,856.8",343.1,11.2,941.2,4.1
North West,Cumbria,Allerdale,E07000026,2019,31.4,109.0,32.7,2.0,48.0,223.0,22.5,19.0,1.2,42.7,3.5,9.4,0.4,13.3,35.4,101.7,40.5,177.6,106.8,0.0,61.9,1.6,0.9,171.2,-51.7,45.0,-7.3,1.7,21.2,0.0,8.8,636.6,97.8,6.5,"1,319.0",0.5
North West,Cumbria,Barrow-in-Furness,E07000027,2019,25.7,34.8,92.4,4.8,1.6,159.3,32.2,20.6,0.2,52.9,14.4,13.3,0.1,27.9,21.2,71.6,4.0,96.7,19.0,0.0,19.5,0.8,0.2,39.5,-1.5,2.0,4.3,-0.4,2.7,0.0,7.2,383.4,67.0,5.7,132.1,2.9
North West,Cumbria,Carlisle,E07000028,2019,35.2,39.7,35.4,0.0,41.6,151.9,36.6,35.7,0.9,73.2,7.6,17.3,0.3,25.2,38.0,113.8,36.9,188.8,83.8,123.0,61.0,9.0,5.2,281.9,-257.4,86.5,-42.6,33.2,18.9,0.0,-161.4,559.5,108.7,5.1,"1,056.1",0.5
North West,Cumbria,Copeland,E07000029,2019,10.1,1.9,12.8,0.0,15.1,39.8,8.4,4.9,0.3,13.6,2.7,5.2,0.2,8.1,24.8,75.3,15.0,115.1,41.3,0.0,28.8,2.0,1.2,73.3,-54.4,12.9,-0.5,-4.6,16.8,0.0,-29.9,220.0,68.2,3.2,775.7,0.3
North West,Cumbria,Eden,E07000030,2019,22.8,69.4,32.9,196.3,64.8,386.2,25.8,11.4,1.8,39.0,3.4,5.2,0.5,9.1,25.0,30.5,58.9,114.4,135.7,264.1,60.5,7.4,2.0,469.7,-58.1,39.0,6.5,-45.1,16.5,0.0,-41.1,977.3,53.3,18.4,"2,156.5",0.5
North West,Cumbria,South Lakeland,E07000031,2019,27.7,81.2,43.4,0.7,41.5,194.5,38.6,19.8,1.9,60.3,4.6,7.1,0.3,12.1,46.9,109.1,41.9,197.8,160.8,128.1,72.1,4.9,5.1,370.9,-117.7,39.9,86.6,-5.1,22.8,0.0,26.5,862.2,105.1,8.2,"1,743.4",0.5
North West,Halton,Halton,E06000006,2019,47.7,54.0,37.6,49.0,1.2,189.5,41.8,28.1,0.5,70.4,10.2,11.2,0.2,21.7,38.0,122.8,7.1,168.0,126.3,50.4,79.2,17.6,2.2,275.7,-2.6,3.7,-2.6,-0.1,2.0,0.0,0.4,725.7,129.4,5.6,90.3,8.0
North West,Knowsley,Knowsley,E08000011,2019,44.6,66.5,34.0,0.2,1.6,146.9,38.4,15.5,0.3,54.2,14.5,11.2,0.1,25.8,44.2,143.4,7.8,195.4,80.8,130.5,164.8,5.8,2.1,383.8,-2.9,8.4,-2.7,0.0,2.0,0.0,4.8,810.9,150.9,5.4,86.5,9.4
North West,Lancashire,Burnley,E07000117,2019,21.5,17.5,17.6,0.1,1.6,58.3,18.6,27.2,0.1,46.0,3.9,22.2,0.0,26.2,27.2,100.5,8.5,136.2,46.7,32.5,46.5,0.7,3.6,130.0,-3.7,1.6,1.9,-1.5,1.1,0.0,-0.6,396.2,88.9,4.5,110.7,3.6
North West,Lancashire,Chorley,E07000118,2019,16.7,9.3,11.8,0.8,5.9,44.4,19.4,22.0,0.5,41.9,4.8,25.5,0.1,30.4,37.4,122.7,15.9,176.0,43.0,236.3,64.5,4.7,5.9,354.5,-7.9,15.2,-4.2,-2.1,3.7,0.0,4.6,651.9,118.2,5.5,202.9,3.2
North West,Lancashire,Fylde,E07000119,2019,23.7,14.8,39.0,0.6,6.8,84.9,17.8,13.3,0.2,31.3,4.0,7.8,0.1,11.9,30.4,95.1,5.5,131.0,52.6,49.2,58.6,6.6,10.1,177.1,-2.2,38.0,10.6,0.0,3.9,0.0,50.2,486.2,80.8,6.0,182.6,2.7
North West,Lancashire,Hyndburn,E07000120,2019,20.5,31.3,17.6,6.8,1.7,77.9,12.2,14.0,0.1,26.3,3.0,6.5,0.0,9.5,23.8,90.1,7.9,121.9,39.0,54.4,48.9,0.4,4.1,146.8,-3.7,1.1,-1.8,-0.1,1.3,0.0,-3.2,379.1,81.0,4.7,73.0,5.2
North West,Lancashire,Lancaster,E07000121,2019,19.6,44.3,22.0,6.0,20.3,112.2,33.1,16.5,0.6,50.2,12.1,24.0,0.2,36.2,45.9,137.0,20.7,203.6,74.0,159.5,117.8,4.4,10.9,366.6,-26.5,22.6,55.1,-5.0,10.7,0.0,57.0,825.9,146.0,5.7,654.0,1.3
North West,Lancashire,Pendle,E07000122,2019,31.8,22.9,29.0,0.0,5.6,89.4,12.1,12.7,0.2,25.0,2.7,7.0,0.0,9.8,27.2,104.1,14.1,145.4,34.2,26.7,76.1,1.4,5.2,143.7,-4.5,3.0,-0.8,-0.8,1.8,0.0,-1.2,411.9,92.1,4.5,169.4,2.4
North West,Lancashire,Preston,E07000123,2019,23.4,10.3,40.3,0.0,5.7,79.7,31.8,27.1,0.6,59.5,12.2,32.9,0.1,45.2,43.8,143.0,12.8,199.6,47.9,163.2,103.5,2.7,4.4,321.8,-2.2,3.0,-2.9,0.0,2.7,0.0,0.6,706.3,143.1,4.9,142.9,4.9
North West,Lancashire,Ribble Valley,E07000124,2019,36.4,33.5,27.1,560.6,21.3,678.9,25.5,7.8,0.8,34.1,4.8,4.0,0.3,9.1,23.2,65.5,18.4,107.1,49.4,0.0,70.8,2.3,0.7,123.2,-36.0,9.6,-7.0,-4.3,8.1,0.0,-29.5,922.9,60.9,15.2,584.5,1.6
North West,Lancashire,Rossendale,E07000125,2019,25.6,32.6,19.5,0.0,1.8,79.5,10.5,9.5,0.1,20.0,2.1,4.3,0.0,6.4,23.7,86.2,9.7,119.6,64.9,3.0,50.0,0.0,1.0,118.8,-5.0,2.4,5.7,-2.2,1.8,0.0,2.7,347.1,71.5,4.9,138.0,2.5
North West,Lancashire,South Ribble,E07000126,2019,30.8,31.7,132.6,0.0,3.7,198.8,23.2,16.4,0.3,39.9,4.5,6.5,0.1,11.1,35.7,118.6,12.0,166.2,56.8,112.4,71.9,1.0,1.2,243.2,-2.1,6.9,-2.9,0.0,2.0,0.0,3.9,663.1,110.8,6.0,114.6,5.8
North West,Lancashire,West Lancashire,E07000127,2019,36.8,48.6,42.8,30.5,13.0,171.7,33.1,51.4,1.0,85.5,8.9,22.2,0.1,31.2,38.5,117.4,20.1,176.1,71.3,58.8,90.5,1.8,7.5,229.9,-15.2,231.8,4.0,3.3,6.9,0.0,230.8,925.2,114.3,8.1,381.4,2.4
North West,Lancashire,Wyre,E07000128,2019,28.0,50.9,34.0,0.0,12.3,125.3,31.0,16.6,0.4,48.0,5.4,7.7,0.1,13.2,38.5,120.9,13.7,173.1,48.0,81.3,92.0,1.4,10.9,233.5,-5.3,63.4,28.6,-0.1,7.0,0.0,93.5,686.5,112.1,6.1,328.8,2.1
North West,Liverpool,Liverpool,E08000012,2019,49.2,110.4,28.3,0.1,0.9,189.0,141.5,87.4,1.3,230.2,51.5,114.8,0.1,166.5,141.1,449.1,14.3,604.4,205.8,4.6,371.7,9.5,17.0,608.6,-2.8,2.3,-4.2,0.0,3.1,0.0,-1.6,"1,797.0",498.0,3.6,133.5,13.5
North West,Manchester,Manchester,E08000003,2019,80.6,44.7,39.5,7.5,0.4,172.7,226.2,132.9,2.9,362.0,61.4,110.9,0.4,172.7,164.2,423.5,11.4,599.1,188.4,152.2,325.2,7.6,43.4,716.8,-4.4,2.4,-4.0,0.0,2.4,0.0,-3.5,"2,019.8",552.9,3.7,115.6,17.5
North West,Oldham,Oldham,E08000004,2019,45.6,20.6,43.7,5.8,1.1,116.8,34.0,38.2,0.2,72.4,8.6,24.1,0.0,32.7,65.6,236.2,9.2,311.0,95.6,44.6,114.3,3.3,2.0,259.8,-2.8,2.3,-20.1,-1.6,2.0,0.0,-20.1,772.6,237.1,3.3,142.3,5.4
North West,Rochdale,Rochdale,E08000005,2019,59.3,31.9,31.3,0.0,1.8,124.3,31.8,31.3,0.2,63.2,8.7,19.8,0.0,28.5,65.1,223.6,11.0,299.8,87.7,231.0,118.5,2.3,2.7,442.3,-3.1,2.9,-1.7,-2.0,2.4,0.0,-1.6,956.5,222.4,4.3,158.1,6.0
North West,Salford,Salford,E08000006,2019,44.0,29.9,26.8,5.4,1.4,107.6,57.2,61.1,0.5,118.9,18.5,37.2,0.1,55.9,87.9,231.0,10.4,329.3,133.2,269.6,160.4,6.5,2.9,572.6,-4.5,42.4,1.6,17.0,1.7,0.0,58.2,"1,242.5",258.8,4.8,97.2,12.8
North West,Sefton,Sefton,E08000014,2019,22.1,27.0,15.9,152.8,2.0,219.9,43.6,118.1,0.2,161.9,19.3,81.7,0.1,101.1,86.7,306.2,15.3,408.1,114.1,31.3,131.6,9.2,3.4,289.5,-7.3,17.4,0.0,0.0,4.0,0.0,14.2,"1,194.6",276.4,4.3,202.8,5.9
North West,St. Helens,St. Helens,E08000013,2019,44.7,70.5,20.4,185.4,2.5,323.5,40.7,105.3,0.4,146.4,11.3,46.2,0.1,57.6,54.1,187.7,14.4,256.2,97.3,132.7,87.5,15.1,1.5,334.0,-5.2,21.4,-4.0,0.0,3.1,0.0,15.2,"1,132.8",180.6,6.3,136.4,8.3
North West,Stockport,Stockport,E08000007,2019,49.2,58.8,36.1,0.1,1.9,146.0,49.3,37.4,0.4,87.1,13.0,23.1,0.1,36.1,96.0,340.8,10.9,447.7,135.8,134.7,198.8,5.9,6.0,481.3,-4.7,2.3,-4.0,0.0,2.5,0.0,-4.0,"1,194.3",293.4,4.1,126.0,9.5
North West,Tameside,Tameside,E08000008,2019,48.7,33.6,36.2,6.2,1.0,125.7,28.4,28.4,0.2,56.9,7.8,21.3,0.0,29.1,68.7,235.7,9.3,313.7,74.5,91.5,109.7,6.4,3.8,286.0,-3.6,3.1,-2.8,-0.1,2.0,0.0,-1.4,810.1,226.5,3.6,103.2,7.9
North West,Trafford,Trafford,E08000009,2019,67.4,207.1,50.9,178.2,1.4,505.1,118.7,77.3,0.6,196.6,20.1,15.7,0.0,35.9,76.4,266.9,7.4,350.6,81.8,103.3,180.8,2.4,2.0,370.3,-2.5,12.1,-2.3,0.0,1.8,0.0,9.0,"1,467.6",237.4,6.2,106.0,13.8
North West,Warrington,Warrington,E06000007,2019,44.9,137.0,39.7,4.9,3.7,230.1,62.6,53.6,1.1,117.3,12.4,20.3,0.1,32.8,64.4,218.7,11.4,294.6,113.8,386.1,148.6,10.9,3.1,662.5,-4.9,21.2,-5.6,0.0,3.3,0.0,14.1,"1,351.4",210.0,6.4,182.4,7.4
North West,Wigan,Wigan,E08000010,2019,57.1,67.1,39.4,7.8,2.7,174.1,55.0,36.6,0.3,91.9,16.9,28.3,0.1,45.2,98.9,323.5,37.9,460.2,134.6,147.3,186.3,8.5,8.9,485.6,-7.9,9.1,-4.9,0.9,3.5,0.0,0.6,"1,257.7",328.7,3.8,188.2,6.7
North West,Wirral,Wirral,E08000015,2019,35.6,74.3,27.1,0.0,3.1,140.2,50.3,47.6,0.3,98.2,19.0,42.2,0.1,61.3,101.7,354.5,14.2,470.4,121.9,111.8,202.8,0.2,2.3,439.1,-3.4,3.3,-5.6,-0.1,4.5,0.0,-1.3,"1,207.9",324.0,3.7,253.2,4.8
Yorkshire and the Humber,Barnsley,Barnsley,E08000016,2019,60.7,147.8,74.5,47.8,7.0,337.8,47.4,29.5,0.6,77.6,11.6,18.9,0.1,30.7,73.0,264.1,66.5,403.6,144.1,145.4,192.5,4.6,2.3,488.9,-17.2,6.7,-9.8,-2.1,5.3,0.0,-17.1,"1,321.6",246.9,5.4,329.1,4.0
Yorkshire and the Humber,Bradford,Bradford,E08000032,2019,106.1,154.0,93.9,21.2,7.0,382.2,75.9,103.0,0.7,179.6,25.1,69.3,0.1,94.6,151.8,584.3,23.0,759.1,212.1,7.5,406.2,1.6,9.3,636.6,-13.1,6.8,-4.0,-2.7,4.3,0.0,-8.8,"2,043.2",539.8,3.8,366.4,5.6
Yorkshire and the Humber,Calderdale,Calderdale,E08000033,2019,56.0,52.8,65.3,2.8,4.8,181.7,33.5,30.3,0.4,64.2,8.0,17.9,0.0,26.0,68.5,246.3,15.0,329.9,111.9,162.0,134.3,4.2,6.9,419.4,-12.3,6.5,4.5,-7.8,4.2,0.0,-4.9,"1,016.3",211.5,4.8,364.0,2.8
Yorkshire and the Humber,Doncaster,Doncaster,E08000017,2019,69.6,140.4,59.1,30.7,12.9,312.7,85.6,55.4,1.1,142.1,24.4,35.4,0.2,60.0,92.2,327.7,78.2,498.1,194.0,426.6,270.9,24.6,17.4,933.5,-22.3,63.4,-18.8,26.4,10.3,0.0,59.0,"2,005.4",311.9,6.4,568.6,3.5
Yorkshire and the Humber,East Riding of Yorkshire,East Riding of Yorkshire,E06000011,2019,105.0,115.4,145.6,525.0,70.3,961.2,91.5,102.1,2.4,196.0,19.4,42.6,0.8,62.8,118.0,355.6,77.6,551.2,345.8,170.6,281.7,12.9,9.4,820.3,-42.2,198.1,-73.7,5.2,53.0,0.0,140.5,"2,731.9",341.2,8.0,"2,495.1",1.1
Yorkshire and the Humber,"Kingston upon Hull, City of","Kingston upon Hull, City of",E06000010,2019,82.0,93.5,82.0,0.2,0.7,258.4,51.8,44.6,0.4,96.9,18.0,35.6,0.1,53.7,75.9,252.5,4.7,333.0,100.3,0.0,239.2,0.7,1.8,342.0,-0.5,1.6,-2.9,0.0,2.2,0.0,0.4,"1,084.4",259.8,4.2,81.5,13.3
Yorkshire and the Humber,Kirklees,Kirklees,E08000034,2019,96.5,152.9,95.4,0.0,7.9,352.7,58.4,75.1,0.5,134.0,15.9,50.0,0.1,65.9,128.5,494.3,28.5,651.3,175.9,244.7,256.2,11.2,7.3,695.4,-13.5,7.5,-8.0,-4.3,5.6,0.0,-12.7,"1,886.7",439.8,4.3,408.6,4.6
Yorkshire and the Humber,Leeds,Leeds,E08000035,2019,153.2,130.3,103.2,87.7,9.8,484.2,212.2,168.4,1.5,382.1,56.5,125.0,0.3,181.8,247.9,825.6,27.5,"1,101.0",407.7,693.5,602.4,16.1,26.3,"1,745.9",-18.2,14.0,-24.5,0.0,9.0,0.0,-19.7,"3,875.2",793.1,4.9,551.7,7.0
Yorkshire and the Humber,North East Lincolnshire,North East Lincolnshire,E06000012,2019,50.7,144.5,43.1,315.7,4.2,558.2,56.2,48.9,0.7,105.8,14.2,33.5,0.1,47.8,49.3,165.6,6.4,221.3,110.5,0.0,132.7,2.2,1.3,246.6,-2.9,3.8,-6.4,0.0,4.8,0.0,-0.8,"1,178.9",159.6,7.4,202.7,5.8
Yorkshire and the Humber,North Lincolnshire,North Lincolnshire,E06000013,2019,105.5,116.2,81.4,"5,568.0",22.0,"5,893.1",76.3,30.2,1.3,107.8,16.8,11.8,0.3,28.8,53.2,172.4,32.5,258.0,155.8,172.3,127.7,14.1,9.5,479.3,-29.3,131.8,-25.1,28.0,17.8,0.0,123.1,"6,890.3",172.3,40.0,875.7,7.9
Yorkshire and the Humber,North Yorkshire,Craven,E07000163,2019,14.1,6.8,26.2,0.0,29.2,76.2,14.4,11.3,0.8,26.5,1.8,4.0,0.3,6.0,23.0,60.0,18.9,102.0,77.9,0.0,51.6,3.9,9.5,142.9,-29.8,18.6,22.1,-15.7,10.6,0.0,5.7,359.4,57.1,6.3,"1,178.8",0.3
Yorkshire and the Humber,North Yorkshire,Hambleton,E07000164,2019,24.4,42.1,46.3,0.9,41.1,154.7,28.6,14.6,1.6,44.8,7.0,9.5,0.6,17.2,35.4,68.5,56.0,159.9,210.3,98.5,78.6,19.4,4.2,411.1,-46.8,52.4,-40.2,-0.4,20.1,0.0,-14.7,772.9,91.6,8.4,"1,311.2",0.6
Yorkshire and the Humber,North Yorkshire,Harrogate,E07000165,2019,34.4,10.6,55.0,1.8,37.1,139.0,60.3,40.6,2.3,103.1,9.3,26.0,0.5,35.9,61.3,177.1,45.0,283.4,136.2,258.2,118.3,2.4,4.5,519.6,-40.6,33.7,-33.7,-4.5,18.7,0.0,-26.3,"1,054.6",160.8,6.6,"1,309.1",0.8
Yorkshire and the Humber,North Yorkshire,Richmondshire,E07000166,2019,8.1,3.2,20.7,0.0,27.5,59.5,16.6,15.0,1.3,32.9,2.1,7.7,0.3,10.0,20.3,34.9,32.9,88.1,48.7,111.7,62.1,0.5,3.2,226.2,-30.7,20.5,1.9,-16.2,11.4,0.0,-13.1,403.5,53.7,7.5,"1,318.7",0.3
Yorkshire and the Humber,North Yorkshire,Ryedale,E07000167,2019,28.8,15.8,41.4,0.1,39.3,125.5,14.5,13.0,1.5,28.9,1.7,22.5,0.6,24.8,22.5,37.1,40.3,99.9,106.4,0.0,81.2,2.6,3.1,193.3,-84.5,48.0,-55.0,-0.5,25.6,0.0,-66.4,406.0,55.4,7.3,"1,506.6",0.3
Yorkshire and the Humber,North Yorkshire,Scarborough,E07000168,2019,19.4,39.1,23.5,0.1,17.8,99.8,33.7,20.4,1.2,55.3,6.7,13.1,0.2,20.0,41.0,119.6,22.5,183.1,78.4,0.0,61.9,6.3,2.4,149.0,-56.4,17.5,-18.4,17.2,16.7,0.0,-23.4,483.9,108.8,4.4,825.5,0.6
Yorkshire and the Humber,North Yorkshire,Selby,E07000169,2019,35.1,159.8,60.6,20.2,15.2,291.0,24.6,14.4,1.1,40.1,4.3,4.6,0.5,9.4,31.8,76.2,34.5,142.5,149.3,104.2,44.8,13.9,11.3,323.5,-23.5,17.6,-28.3,0.0,11.3,0.0,-22.9,783.5,90.6,8.6,602.2,1.3
Yorkshire and the Humber,Rotherham,Rotherham,E08000018,2019,65.2,103.6,45.3,149.3,5.1,368.5,50.1,78.2,0.3,128.5,16.0,41.8,0.1,57.9,77.1,284.5,42.8,404.3,141.1,269.3,218.3,11.0,6.1,645.7,-16.9,6.5,-11.6,0.0,5.2,0.0,-16.7,"1,588.2",265.4,6.0,286.5,5.5
Yorkshire and the Humber,Sheffield,Sheffield,E08000019,2019,110.7,133.3,69.6,74.1,4.1,391.9,129.7,116.3,0.6,246.6,47.4,87.4,0.2,135.0,158.6,585.8,23.3,767.7,223.1,90.3,376.7,7.4,4.2,701.7,-25.8,6.0,-9.1,-1.6,5.1,0.0,-25.4,"2,217.6",584.9,3.8,367.9,6.0
